humanjobid,area
1527545,Urban
1527549,Urban
1527507,Rural
1527544,Rural
1527480,Rural
1527693,Rural
1527618,Urban
1527682,Rural
1527477,Rural
1527487,Rural
1527454,Urban
1527460,Rural
1527778,Rural
1527609,Urban
1527929,Urban
1527482,Urban
1527810,Rural
1527828,Urban
1527397,Rural
1527804,Rural
1527803,Rural
1527794,Rural
1527856,Rural
1527581,Rural
1527877,Rural
1527933,Rural
1527920,Rural
1527499,Rural
1527953,Rural
1527551,Rural
1527668,Urban
1527566,Urban
1527948,Rural
1527849,Rural
1527760,Rural
1528149,Rural
1527843,Rural
1528250,Urban
1528193,Rural
1528257,Rural
1528199,Rural
1527598,Rural
1527801,Rural
1527678,Urban
1527874,Urban
1527776,Urban
1527735,Rural
1527986,Rural
1527946,Urban
1527922,Urban
1527921,Rural
1527860,Urban
1527871,Rural
1527798,Urban
1527417,Rural
1528399,Urban
1527761,Urban
1527764,Rural
1527862,Urban
1528545,Rural
1527976,Urban
1527961,Urban
1528005,Rural
1528323,Urban
1527966,Urban
1528326,Rural
1527827,Rural
1528523,Urban
1528097,Rural
1528488,Urban
1528330,Rural
1528098,Urban
1528079,Rural
1528095,Rural
1528140,Rural
1528024,Urban
1527468,Rural
1527867,Urban
1527491,Rural
1528409,Urban
1528090,Urban
1527857,Urban
1528201,Urban
1527500,Urban
1528578,Urban
1528345,Urban
1527852,Rural
1528192,Rural
1528717,Urban
1528737,Rural
1527440,Rural
1528283,Urban
1528214,Rural
1528473,Urban
1527888,Rural
1527989,Rural
1527900,Rural
1527883,Rural
1528136,Rural
1528268,Rural
1528169,Urban
1528598,Urban
1528271,Urban
1528221,Urban
1528816,Rural
1528343,Urban
1528092,Urban
1528351,Rural
1528144,Rural
1528368,Urban
1528120,Rural
1528301,Rural
1528190,Rural
1528362,Rural
1527720,Urban
1528487,Rural
1528795,Rural
1529011,Urban
1528462,Rural
1528122,Rural
1528549,Urban
1528115,Rural
1528075,Rural
1528657,Rural
1527806,Urban
1528348,Rural
1528768,Urban
1528066,Urban
1528291,Rural
1528505,Rural
1528295,Rural
1528599,Urban
1528932,Urban
1528859,Urban
1528735,Rural
1528443,Rural
1528803,Urban
1528685,Urban
1528688,Rural
1528582,Urban
1528447,Rural
1528832,Rural
1528595,Urban
1528681,Urban
1528204,Rural
1529029,Rural
1527755,Rural
1528187,Rural
1528799,Rural
1528810,Rural
1528801,Rural
1528625,Rural
1527830,Rural
1528385,Urban
1528607,Urban
1528664,Urban
1528766,Rural
1528736,Rural
1528571,Rural
1528485,Rural
1528797,Rural
1528644,Urban
1528720,Urban
1528838,Rural
1528828,Urban
1528449,Rural
1528869,Urban
1529154,Urban
1528817,Rural
1528703,Rural
1528700,Urban
1528273,Urban
1528820,Urban
1529242,Rural
1528842,Urban
1529180,Rural
1529129,Urban
1528954,Rural
1529204,Rural
1529199,Rural
1529047,Urban
1528821,Urban
1528978,Rural
1528919,Urban
1529019,Urban
1529027,Urban
1528882,Urban
1528704,Rural
1529072,Rural
1529191,Rural
1528858,Rural
1529313,Urban
1529236,Rural
1529099,Urban
1529396,Rural
1529009,Rural
1528760,Rural
1529239,Urban
1529046,Urban
1528963,Urban
1529495,Urban
1528897,Rural
1528934,Rural
1529245,Rural
1529264,Rural
1529086,Urban
1529404,Rural
1529015,Rural
1529232,Rural
1529354,Urban
1529049,Urban
1529110,Urban
1529008,Urban
1529458,Rural
1529168,Urban
1529243,Rural
1529125,Urban
1529306,Rural
1529128,Rural
1529192,Rural
1528460,Rural
1529422,Rural
1529162,Rural
1529145,Rural
1529051,Urban
1529012,Rural
1529146,Urban
1529451,Urban
1529006,Rural
1529028,Urban
1529138,Urban
1528906,Rural
1529442,Rural
1529517,Urban
1529235,Rural
1529114,Urban
1529480,Urban
1529559,Urban
1528970,Rural
1529312,Rural
1529788,Rural
1529597,Rural
1529305,Urban
1529552,Rural
1529315,Urban
1529319,Rural
1529677,Rural
1529371,Urban
1529420,Rural
1529248,Urban
1529252,Urban
1529296,Rural
1529076,Urban
1529304,Rural
1529258,Rural
1529949,Rural
1529963,Rural
1529084,Urban
1529250,Rural
1528911,Rural
1529383,Urban
1529276,Urban
1529394,Rural
1529324,Rural
1529497,Rural
1529326,Rural
1529500,Urban
1529453,Rural
1529405,Rural
1529380,Urban
1529525,Urban
1529399,Rural
1529409,Rural
1529499,Rural
1529516,Rural
1529695,Rural
1529658,Rural
1529819,Rural
1529906,Rural
1529711,Urban
1529889,Rural
1529776,Rural
1529671,Urban
1529778,Rural
1529533,Urban
1529753,Rural
1529992,Rural
1529737,Urban
1529652,Rural
1529001,Rural
1529888,Urban
1529531,Rural
1528162,Rural
1529786,Rural
1529852,Rural
1529602,Urban
1529581,Rural
1529592,Rural
1529849,Rural
1529348,Urban
1529892,Urban
1530002,Rural
1529817,Rural
1529853,Urban
1529684,Urban
1529881,Rural
1530094,Rural
1529713,Urban
1530040,Urban
1528809,Urban
1529875,Rural
1530041,Rural
1530009,Urban
1529928,Urban
1530001,Urban
1529908,Rural
1530017,Urban
1529919,Rural
1528781,Rural
1530092,Rural
1529746,Urban
1530046,Rural
1529561,Rural
1530174,Rural
1527537,Rural
1529747,Urban
1529943,Urban
1529856,Urban
1528811,Urban
1530206,Urban
1529839,Rural
1530237,Urban
1530171,Urban
1530179,Rural
1530204,Rural
1529718,Urban
1530201,Urban
1528808,Urban
1530127,Urban
1530036,Urban
1530077,Rural
1530317,Rural
1530086,Urban
1530342,Rural
1530193,Rural
1530303,Rural
1530379,Urban
1530165,Urban
1529397,Rural
1530394,Rural
1529259,Rural
1530075,Rural
1530004,Rural
1529755,Urban
1530071,Urban
1527392,Urban
1530420,Rural
1530161,Rural
1530078,Rural
1530321,Urban
1530369,Urban
1530322,Rural
1530380,Rural
1529777,Rural
1530347,Urban
1530419,Rural
1530431,Urban
1529560,Urban
1530242,Urban
1530325,Rural
1530429,Rural
1530211,Urban
1530214,Rural
1530364,Rural
1530141,Urban
1530225,Urban
1530386,Urban
1530189,Urban
1530447,Rural
1529827,Rural
1529664,Rural
1530150,Urban
1530262,Rural
1530316,Rural
1530426,Rural
1530433,Rural
1530485,Rural
1530299,Rural
1530402,Urban
1530271,Rural
1530382,Urban
1530440,Rural
1530555,Rural
1530396,Urban
1530571,Rural
1530486,Urban
1530245,Urban
1530518,Rural
1530430,Urban
1530604,Urban
1529958,Rural
1530548,Rural
1530747,Rural
1530688,Urban
1528617,Rural
1530569,Rural
1530785,Rural
1530669,Rural
1530634,Rural
1530511,Urban
1530507,Rural
1530529,Rural
1530592,Urban
1529317,Rural
1530335,Rural
1530635,Urban
1530524,Rural
1530247,Urban
1530702,Rural
1530622,Urban
1530389,Rural
1530343,Urban
1530466,Urban
1530581,Urban
1530187,Rural
1530753,Urban
1530313,Urban
1530776,Rural
1530937,Rural
1530537,Urban
1530570,Rural
1530790,Rural
1530696,Urban
1530786,Urban
1530539,Rural
1530751,Rural
1530650,Rural
1530695,Rural
1531020,Urban
1530455,Urban
1530487,Rural
1530748,Rural
1530910,Urban
1531159,Urban
1530641,Rural
1530659,Urban
1530549,Rural
1531179,Rural
1530797,Rural
1531134,Urban
1531062,Urban
1530806,Rural
1530836,Rural
1530771,Rural
1531132,Rural
1530547,Rural
1530520,Urban
1530302,Rural
1531136,Rural
1531241,Rural
1530717,Urban
1531008,Rural
1531360,Rural
1531149,Rural
1531284,Urban
1531250,Urban
1531022,Urban
1530886,Urban
1531057,Rural
1530967,Urban
1530713,Urban
1530905,Rural
1530756,Rural
1528318,Rural
1530920,Rural
1531014,Rural
1531418,Urban
1531311,Urban
1531300,Urban
1530955,Urban
1530892,Urban
1531382,Urban
1530089,Rural
1530149,Urban
1531431,Rural
1531046,Urban
1531169,Rural
1531212,Urban
1530807,Rural
1531369,Rural
1531408,Rural
1530824,Rural
1530828,Rural
1531524,Urban
1531126,Rural
1531413,Urban
1531511,Rural
1530903,Urban
1531004,Rural
1531502,Rural
1530918,Rural
1531546,Rural
1531544,Rural
1530866,Rural
1531032,Urban
1530938,Rural
1531550,Rural
1531310,Urban
1530924,Urban
1530969,Rural
1530930,Urban
1531320,Rural
1531448,Rural
1531543,Rural
1531167,Urban
1530707,Urban
1531355,Rural
1531340,Rural
1531461,Urban
1531552,Rural
1531605,Urban
1531233,Rural
1531016,Urban
1531321,Rural
1531611,Rural
1531530,Urban
1531120,Rural
1531292,Urban
1531303,Urban
1531622,Urban
1531393,Urban
1530489,Urban
1531371,Urban
1531223,Urban
1529218,Rural
1531342,Rural
1531565,Rural
1531345,Urban
1531315,Urban
1531513,Urban
1531155,Urban
1531561,Rural
1531414,Urban
1531663,Rural
1531567,Urban
1531730,Urban
1531564,Rural
1531520,Rural
1531381,Urban
1530831,Urban
1531283,Rural
1531795,Urban
1531304,Urban
1531759,Rural
1531600,Urban
1531745,Rural
1531735,Urban
1531278,Rural
1531302,Rural
1531396,Rural
1531398,Rural
1531758,Rural
1531965,Rural
1531837,Rural
1531695,Rural
1531794,Urban
1531497,Rural
1531515,Rural
1531830,Rural
1531801,Urban
1531736,Rural
1531933,Urban
1530877,Urban
1531952,Urban
1531871,Rural
1531631,Rural
1531781,Rural
1531454,Urban
1531868,Rural
1532036,Rural
1531958,Urban
1532060,Urban
1530891,Urban
1531903,Urban
1531491,Urban
1532186,Rural
1532066,Rural
1531873,Urban
1531844,Rural
1531683,Rural
1531719,Urban
1531913,Rural
1532126,Rural
1531206,Rural
1531851,Rural
1531970,Urban
1530884,Urban
1531921,Rural
1531957,Urban
1532207,Urban
1531983,Urban
1532217,Urban
1531556,Rural
1532144,Urban
1531587,Rural
1531276,Rural
1532279,Urban
1532256,Rural
1531926,Rural
1532274,Rural
1532252,Rural
1531665,Rural
1531596,Urban
1531610,Rural
1531950,Rural
1531697,Urban
1531375,Urban
1531721,Rural
1528693,Rural
1531706,Urban
1532270,Rural
1532147,Rural
1531305,Urban
1531729,Urban
1531969,Rural
1532377,Urban
1531981,Urban
1531885,Urban
1531816,Urban
1532235,Urban
1531946,Urban
1532175,Urban
1531778,Rural
1531677,Urban
1532190,Urban
1531815,Rural
1531672,Rural
1531962,Urban
1531987,Rural
1531424,Rural
1531889,Rural
1532065,Rural
1531967,Rural
1531923,Rural
1531777,Rural
1531973,Rural
1532239,Rural
1531838,Urban
1532197,Rural
1532114,Rural
1532017,Urban
1532308,Rural
1532380,Urban
1531542,Rural
1532381,Rural
1531886,Rural
1532223,Rural
1532238,Urban
1532278,Rural
1532007,Rural
1531948,Urban
1531953,Urban
1532361,Urban
1532071,Urban
1532209,Rural
1532338,Urban
1532182,Rural
1532185,Rural
1531562,Urban
1532234,Rural
1532054,Urban
1532159,Urban
1532089,Urban
1532173,Urban
1532383,Rural
1532385,Rural
1532220,Rural
1531986,Rural
1532463,Urban
1532283,Urban
1532503,Urban
1531538,Rural
1532532,Rural
1532324,Rural
1532522,Urban
1532314,Urban
1532097,Rural
1532394,Rural
1532208,Urban
1531907,Rural
1532454,Urban
1532346,Urban
1532510,Rural
1532302,Rural
1532751,Rural
1532493,Urban
1532137,Urban
1532174,Urban
1532263,Rural
1532205,Rural
1532303,Urban
1532449,Rural
1532681,Rural
1532325,Rural
1532533,Rural
1532498,Rural
1532389,Rural
1532311,Urban
1532578,Rural
1532551,Rural
1532707,Urban
1532641,Urban
1532689,Rural
1532656,Rural
1532406,Urban
1532527,Urban
1532181,Urban
1532374,Rural
1532626,Urban
1532448,Rural
1532741,Rural
1532506,Rural
1531640,Urban
1532511,Rural
1532595,Urban
1532613,Rural
1532619,Urban
1532755,Urban
1532622,Urban
1532753,Urban
1532633,Urban
1532574,Rural
1532774,Urban
1532744,Rural
1532530,Urban
1532667,Rural
1532411,Rural
1532573,Rural
1532737,Rural
1532739,Urban
1532695,Rural
1532526,Urban
1532617,Urban
1532508,Rural
1532920,Urban
1532618,Rural
1532670,Urban
1533147,Urban
1532795,Rural
1533071,Rural
1533149,Urban
1532357,Rural
1532544,Urban
1533257,Urban
1533142,Rural
1533052,Rural
